Product Name,group_id,product_id,Quantity,Latest Price,Total Value,Image URL
Surging Sparks Elite Trainer Box,23651,565630,2,79.64,159.28,https://tcgplayer-cdn.tcgplayer.com/product/565630_200w.jpg
Paldea Evolved Elite Trainer Box,23120,493974,1,122.43,122.43,https://tcgplayer-cdn.tcgplayer.com/product/493974_200w.jpg
Brilliant Stars Elite Trainer Box,2948,256138,1,119.63,119.63,https://tcgplayer-cdn.tcgplayer.com/product/256138_200w.jpg
Lost Origin Elite Trainer Box,3118,277335,2,148.3,296.6,https://tcgplayer-cdn.tcgplayer.com/product/277335_200w.jpg
151: Zapdos ex Collection,23237,502007,1,66.42,66.42,https://tcgplayer-cdn.tcgplayer.com/product/502007_200w.jpg
Paldean Fates Booster Bundle,23353,528771,2,120.67,241.34,https://tcgplayer-cdn.tcgplayer.com/product/528771_200w.jpg
Prismatic Evolutions Elite Trainer Box,23821,593355,4,140.55,562.2,https://tcgplayer-cdn.tcgplayer.com/product/593355_200w.jpg
Prismatic Evolutions Tech Sticker Collection [Glaceon],23821,593451,1,29.13,29.13,https://tcgplayer-cdn.tcgplayer.com/product/593451_200w.jpg
Prismatic Evolutions Tech Sticker Collection [Sylveon],23821,593450,1,31.31,31.31,https://tcgplayer-cdn.tcgplayer.com/product/593450_200w.jpg
Blooming Waters Premium Collection,2374,609597,4,204.77,819.08,https://tcgplayer-cdn.tcgplayer.com/product/609597_200w.jpg
Shrouded Fable Pokemon Center Elite Trainer Box (Exclusive),23529,552998,1,121.11,121.11,https://tcgplayer-cdn.tcgplayer.com/product/552998_200w.jpg
151 Booster Bundle,23237,502000,6,117.79,706.74,https://tcgplayer-cdn.tcgplayer.com/product/502000_200w.jpg
Prismatic Evolutions Surprise Box,23821,593466,1,46.14,46.14,https://tcgplayer-cdn.tcgplayer.com/product/593466_200w.jpg
Prismatic Evolutions Booster Bundle,23821,600518,8,69.26,554.08,https://tcgplayer-cdn.tcgplayer.com/product/600518_200w.jpg
Surging Sparks Booster Bundle,23651,565629,2,42.18,84.36,https://tcgplayer-cdn.tcgplayer.com/product/565629_200w.jpg
Journey Together Pokemon Center Elite Trainer Box (Exclusive),24073,610929,1,145.37,145.37,https://tcgplayer-cdn.tcgplayer.com/product/610929_200w.jpg
151 Poster Collection,23237,502001,1,47.65,47.65,https://tcgplayer-cdn.tcgplayer.com/product/502001_200w.jpg
Prismatic Evolutions Accessory Pouch Special Collection,23821,606881,1,51.72,51.72,https://tcgplayer-cdn.tcgplayer.com/product/606881_200w.jpg
Destined Rivals Booster Bundle,24269,625670,6,54.41,326.46,https://tcgplayer-cdn.tcgplayer.com/product/625670_200w.jpg
Destined Rivals Premium Checklane Blister [Rabsca],24269,628396,1,14.94,14.94,https://tcgplayer-cdn.tcgplayer.com/product/628396_200w.jpg
Destined Rivals Premium Checklane Blister [Gastrodon],24269,628395,1,16.39,16.39,https://tcgplayer-cdn.tcgplayer.com/product/628395_200w.jpg
Surging Sparks Booster Pack,23651,565604,4,6.65,26.6,https://tcgplayer-cdn.tcgplayer.com/product/565604_200w.jpg
Black Bolt Pokemon Center Elite Trainer Box (Exclusive),24325,630687,1,175.72,175.72,https://tcgplayer-cdn.tcgplayer.com/product/630687_200w.jpg
White Flare Pokemon Center Elite Trainer Box (Exclusive),24326,630688,1,157.62,157.62,https://tcgplayer-cdn.tcgplayer.com/product/630688_200w.jpg
White Flare Booster Bundle,24326,630696,3,49.58,148.74,https://tcgplayer-cdn.tcgplayer.com/product/630696_200w.jpg
Black Bolt Booster Bundle,24325,630431,2,52.01,104.02,https://tcgplayer-cdn.tcgplayer.com/product/630431_200w.jpg
Mega Evolution Booster Bundle,24380,644362,2,45.33,90.66,https://tcgplayer-cdn.tcgplayer.com/product/644362_200w.jpg
"2 Pack Blister [Tornadus, Thundurus & Landorus]",2374,634329,2,20.69,41.38,https://tcgplayer-cdn.tcgplayer.com/product/634329_200w.jpg
Greninja EX & Kingdra EX Special Collection Box,2374,656950,2,45.96,91.92,https://tcgplayer-cdn.tcgplayer.com/product/656950_200w.jpg
Snorlax ex & Blissey ex Special Collection,2374,662770,3,48.45,145.35000000000002,https://tcgplayer-cdn.tcgplayer.com/product/662770_200w.jpg
Phantasmal Flames Pokemon Center Elite Trainer Box (Exclusive),24448,654135,2,196.11,392.22,https://tcgplayer-cdn.tcgplayer.com/product/654135_200w.jpg
Mega Charizard X ex Ultra Premium Collection,2374,654213,3,145.06,435.18,https://tcgplayer-cdn.tcgplayer.com/product/654213_200w.jpg
Stellar Crown Pokemon Center Elite Trainer Box (Exclusive),23537,557340,1,112.9,112.9,https://tcgplayer-cdn.tcgplayer.com/product/557340_200w.jpg
Paldean Fates Great Tusk ex & Iron Treads ex Premium Collection,23353,665113,2,145.89,291.78,https://tcgplayer-cdn.tcgplayer.com/product/665113_200w.jpg
Paradox Rift Booster Pack,23286,512822,6,6.58,39.480000000000004,https://tcgplayer-cdn.tcgplayer.com/product/512822_200w.jpg
Destined Rivals Sleeved Booster Pack,24269,624684,16,7.95,127.2,https://tcgplayer-cdn.tcgplayer.com/product/624684_200w.jpg
Phantasmal Flames Sleeved Booster Pack,24448,654145,8,7.33,58.64,https://tcgplayer-cdn.tcgplayer.com/product/654145_200w.jpg
Phantasmal Flames Booster Bundle,24448,654160,1,46.8,46.8,https://tcgplayer-cdn.tcgplayer.com/product/654160_200w.jpg
Phantasmal Flames Booster Box,24448,654137,6,280.64,1683.84,https://tcgplayer-cdn.tcgplayer.com/product/654137_200w.jpg
